Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DZA,,,,2023-08-20 14:31:44,2023-08-20 14:32:09,25.191s,FAILED
,,,,,,,
Test Cases/WEB - SAFARI/DZA PI/WEB_AR_getSubscriptionConfigForDZA_GEA,,,,2023-08-20 14:31:44,2023-08-20 14:31:48,3.267s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP_GEA"", ""DZ"", ""true"")",,,,2023-08-20 14:31:45,2023-08-20 14:31:46,1.449s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""DZA"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.060s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""الاشتراك الشهري"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""801 DZD / شهرياً"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""تدفع شهرياً"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-08-20 14:31:46,2023-08-20 14:31:46,0.011s,PASSED
