Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IRQ,,,,2023-08-20 14:36:49,2023-08-20 14:37:10,20.503s,FAILED
,,,,,,,
Test Cases/WEB - SAFARI/IRQ PI/WEB_AR_getSubscriptionConfigForIRQ_GEA,,,,2023-08-20 14:36:49,2023-08-20 14:36:52,3.182s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP_GEA"", ""IQ"", ""true"")",,,,2023-08-20 14:36:50,2023-08-20 14:36:51,1.627s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""IRQ"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.026s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""الاشتراك الشهري"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""8999 IQD / شهرياً"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""تدفع شهرياً"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].value"", ""false"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].key"", ""price"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].value"", ""8999"")",,,,2023-08-20 14:36:51,2023-08-20 14:36:51,0.010s,PASSED
