Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KWT,,,,2023-08-20 14:26:20,2023-08-20 14:26:50,30.389s,FAILED
,,,,,,,
Test Cases/WEB - SAFARI/KWT PI/WEB_AR_getSubscriptionConfigForKWT_GEA,,,,2023-08-20 14:26:20,2023-08-20 14:26:24,3.657s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP_GEA"", ""KW"", ""true"")",,,,2023-08-20 14:26:20,2023-08-20 14:26:22,1.692s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""KWT"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.023s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-08-20 14:26:22,2023-08-20 14:26:22,0.012s,PASSED
