Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LBN,,,,2023-08-20 14:32:27,2023-08-20 14:32:53,25.451s,FAILED
,,,,,,,
Test Cases/WEB - SAFARI/LBN PI/WEB_AR_getSubscriptionConfigForLBN_VIP,,,,2023-08-20 14:32:28,2023-08-20 14:32:33,5.380s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP"", ""LB"", ""true"")",,,,2023-08-20 14:32:28,2023-08-20 14:32:30,1.769s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""LBN"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.024s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].offerId"", ""winback-30-offer"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].offerParam"", ""winback30"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].price"", ""3.14"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.020s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].currency"", ""USD"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].order"", ""0"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[1].value"", ""احصل على خصم 30%"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[2].value"", ""3.14 USD / شهرياً"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[3].value"", ""تدفع شهرياً"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[6].key"", ""show_payment_logo"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[6].value"", ""true"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[8].key"", ""price"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[8].value"", ""3.14"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[9].key"", ""currency"")",,,,2023-08-20 14:32:30,2023-08-20 14:32:30,0.011s,PASSED
