Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SAU,,,,2023-08-20 14:25:23,2023-08-20 14:25:58,34.409s,FAILED
,,,,,,,
Test Cases/WEB - SAFARI/SAU PI/WEB_AR_getSubscriptionConfigForSAU_GOBX,,,,2023-08-20 14:25:24,2023-08-20 14:25:27,3.915s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP_SPORT_GOBX"", ""SA"", ""true"")",,,,2023-08-20 14:25:24,2023-08-20 14:25:26,1.675s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""SAU"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.024s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_SPORT_GOBX"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""SPORT"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""Header_1_text"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""display_title"")",,,,2023-08-20 14:25:26,2023-08-20 14:25:26,0.010s,PASSED
