Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EGY,,,,2023-10-15 10:31:34,2023-10-15 10:32:52,1m - 17.988s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/EGY PI/WEB_EN_getSubscriptionConfigForEGY_Imagine,,,,2023-10-15 10:31:34,2023-10-15 10:31:38,4.053s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""EN"", ""SHAHID_VIP_GEA"", ""EG"", ""false"")",,,,2023-10-15 10:31:35,2023-10-15 10:31:37,2.119s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""EGY"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.025s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Watch the most powerful series and movies exclusively without stopping"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Monthly Plan"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""174.99 EGP / month"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.020s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""billed monthly"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-10-15 10:31:37,2023-10-15 10:31:37,0.013s,PASSED
