Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EGY PI,,,,2023-10-15 12:34:25,2023-10-15 12:34:38,12.891s,FAILED
,,,,,,,
Test Cases/IOS/EGY PI/IOS_AR_getSubscriptionConfigForEGY_Imagine,,,,2023-10-15 12:34:25,2023-10-15 12:34:28,3.043s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""IOS_APP"", ""AR"", ""SHAHID_VIP_GEA"", ""EG"", ""false"")",,,,2023-10-15 12:34:25,2023-10-15 12:34:27,1.852s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.008s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""EGY"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.026s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[IOS_APP]"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""duration"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""الشهرية"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""currency"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""EGP"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""price"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""174.99"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[5].key"", ""show_tag"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[5].value"", ""false"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].key"", ""show_payment_logo"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].value"", ""false"")",,,,2023-10-15 12:34:27,2023-10-15 12:34:27,0.010s,PASSED
