Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TUR,,,,2023-10-15 12:35:20,2023-10-15 12:35:31,10.743s,FAILED
,,,,,,,
Test Cases/IOS/TUR PI/IOS_EN_getSubscriptionConfigForTUR_Imagine,,,,2023-10-15 12:35:20,2023-10-15 12:35:23,2.594s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""IOS_APP"", ""EN"", ""SHAHID_VIP_GEA"", ""TR"", ""false"")",,,,2023-10-15 12:35:20,2023-10-15 12:35:22,1.484s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""TUR"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.023s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[IOS_APP]"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""duration"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Monthly"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""currency"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""TRY"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""price"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""149.99"")",,,,2023-10-15 12:35:22,2023-10-15 12:35:22,0.010s,PASSED
