Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DZA,,,,2023-10-16 14:15:45,2023-10-16 14:16:22,36.395s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/DZA PI/WEB_FR_getSubscriptionConfigForDZA_Ultimate,,,,2023-10-16 14:15:46,2023-10-16 14:15:49,3.322s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""FR"", ""SHAHID_VIP_GEA_SPORT"", ""DZ"", ""false"")",,,,2023-10-16 14:15:46,2023-10-16 14:15:48,1.626s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""DZA"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.025s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA_SPORT"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Plan Mensuel"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""1199 DZD / mois"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""facturation mensuelle"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-10-16 14:15:48,2023-10-16 14:15:48,0.011s,PASSED
