Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EURO,,,,2023-10-16 14:06:47,2023-10-16 14:07:22,35.115s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/EURO PI/WEB_AR_getSubscriptionConfigForFRA_VIP,,,,2023-10-16 14:06:47,2023-10-16 14:06:50,3.038s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""AR"", ""SHAHID_VIP"", ""FR"", ""false"")",,,,2023-10-16 14:06:47,2023-10-16 14:06:49,1.821s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""EUROPE"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.021s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""الاشتراك الشهري "")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""10.49 EUR / شهرياً"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""تدفع شهرياً"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].key"", ""show_payment_logo"")",,,,2023-10-16 14:06:49,2023-10-16 14:06:49,0.011s,PASSED
