Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GBR,,,,2023-10-16 14:23:03,2023-10-16 14:23:49,45.752s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/GBR PI/WEB_FR_getSubscriptionConfigForGBR_Ultimate,,,,2023-10-16 14:23:03,2023-10-16 14:23:07,3.275s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""FR"", ""SHAHID_VIP_GEA_SPORT"", ""GB"", ""false"")",,,,2023-10-16 14:23:04,2023-10-16 14:23:05,1.655s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""GBR"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.023s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.038s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA_SPORT"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:05,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:23:05,2023-10-16 14:23:06,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Plan Mensuel"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""17.99 GBP / mois"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""facturation mensuelle"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].value"", ""false"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].key"", ""price"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].value"", ""17.99"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].key"", ""currency"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].value"", ""GBP"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[12].key"", ""duration"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[12].value"", ""Mensuel"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[13].key"", ""featured_tag_text"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[13].value"", ""Le plus populaire"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].order"", ""9"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].price"", ""17.99"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].currency"", ""GBP"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].productId"", ""GBR_B2C_SHAHID_VIP_GEA_SPORT_1M"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.017s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].subPricingPlanIds"", ""null"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].paymentMethod"", ""CREDIT_CARD"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].freeTrialEnabled"", ""false"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[0].key"", ""title"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.015s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[0].value"", ""Carte de crédit/débit"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.017s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[1].key"", ""CTA_text"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[1].value"", ""S'abonner"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[2].key"", ""logo"")",,,,2023-10-16 14:23:06,2023-10-16 14:23:06,0.014s,FAILED
