Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
JOR,,,,2023-10-16 14:07:40,2023-10-16 14:08:15,35.194s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/JOR PI/WEB_EN_getSubscriptionConfigForJOR_VIP,,,,2023-10-16 14:07:40,2023-10-16 14:07:44,4.260s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""EN"", ""SHAHID_VIP"", ""JO"", ""false"")",,,,2023-10-16 14:07:40,2023-10-16 14:07:42,1.850s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""JOR"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.027s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Watch the most powerful series and movies exclusively without stopping"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Monthly Plan"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""2.99 JOD / month"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""billed every month"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].key"", ""show_payment_logo"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:42,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].value"", ""true"")",,,,2023-10-16 14:07:42,2023-10-16 14:07:43,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].key"", ""featured_tag_text"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].value"", ""Most popular"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""price"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].value"", ""2.99"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[9].key"", ""currency"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[9].value"", ""JOD"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].key"", ""duration"")",,,,2023-10-16 14:07:43,2023-10-16 14:07:43,0.010s,PASSED
