Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PSE,,,,2023-10-16 14:13:20,2023-10-16 14:13:39,19.043s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/PSE PI/WEB_FR_getSubscriptionConfigForPSE_VIP,,,,2023-10-16 14:13:21,2023-10-16 14:13:25,4.708s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""FR"", ""SHAHID_VIP"", ""PS"", ""false"")",,,,2023-10-16 14:13:21,2023-10-16 14:13:23,1.837s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""PSE"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.025s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].offerId"", ""winback-30-offer"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].offerParam"", ""winback30"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].price"", ""11.9"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].currency"", ""₪"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].order"", ""0"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[1].value"", ""30% de réduction"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[2].value"", ""11.9 ₪ / mois"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[0].groups[0].pricingPlans[0].visualElements[3].value"", ""facturation mensuelle"")",,,,2023-10-16 14:13:23,2023-10-16 14:13:23,0.012s,PASSED
