Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TUN,,,,2023-10-16 14:20:18,2023-10-16 14:20:53,35.342s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/TUN PI/WEB_EN_getSubscriptionConfigForTUN_MO,,,,2023-10-16 14:20:18,2023-10-16 14:20:21,3.411s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""EN"", ""SHAHID_MOBILE_ONLY"", ""TN"", ""false"")",,,,2023-10-16 14:20:18,2023-10-16 14:20:20,1.722s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""TUN"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.024s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_MOBILE_ONLY"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.018s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""display_title"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Monthly Plan"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""5.99 TND / month"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-16 14:20:20,2023-10-16 14:20:20,0.013s,PASSED
