Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WW,,,,2023-10-16 14:10:31,2023-10-16 14:11:09,37.921s,FAILED
,,,,,,,
Test Cases/WEB - CHROME/WW PI/WEB_EN_getSubscriptionConfigForJPN_VIP,,,,2023-10-16 14:10:31,2023-10-16 14:10:34,3.248s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""WEB"", ""EN"", ""SHAHID_VIP"", ""JP"", ""false"")",,,,2023-10-16 14:10:31,2023-10-16 14:10:33,2.014s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-16 14:10:33,2023-10-16 14:10:33,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""WW"")",,,,2023-10-16 14:10:33,2023-10-16 14:10:33,0.025s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[WEB]"")",,,,2023-10-16 14:10:33,2023-10-16 14:10:33,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-16 14:10:33,2023-10-16 14:10:33,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP"")",,,,2023-10-16 14:10:33,2023-10-16 14:10:33,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-16 14:10:33,2023-10-16 14:10:34,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Watch the most powerful series and movies exclusively without stopping"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Monthly Plan"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].key"", ""promo_text"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[2].value"", ""11.19 USD/ month"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""billed every month"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].key"", ""show_payment_logo"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[6].value"", ""true"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""price"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].value"", ""11.19"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[9].key"", ""currency"")",,,,2023-10-16 14:10:34,2023-10-16 14:10:34,0.010s,PASSED
