Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CAN PI,,,,2023-10-18 16:35:10,2023-10-18 16:35:39,28.656s,FAILED
,,,,,,,
Test Cases/ANDROID/CAN PI/ANDROID_EN_getSubscriptionConfigForCAN_SPORT,,,,2023-10-18 16:35:10,2023-10-18 16:35:16,5.462s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""EN"", ""SHAHID_VIP_SPORT"", ""CA"", ""false"")",,,,2023-10-18 16:35:11,2023-10-18 16:35:14,2.975s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.009s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""CAN"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.022s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].offerId"", ""winback-sport-30-offer"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.033s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].offerParam"", ""sportsoffer30"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].price"", ""18.49"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].currency"", ""CAD"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].order"", ""0"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_SPORT"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].catalogId"", ""SPORT"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[0].value"", ""Watch the most powerful series and movies exclusively without stopping"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-18 16:35:14,2023-10-18 16:35:14,0.012s,FAILED
