Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GBR PI,,,,2023-10-18 16:33:07,2023-10-18 16:33:34,27.062s,FAILED
,,,,,,,
Test Cases/ANDROID/GBR PI/ANDROID_EN_getSubscriptionConfigForGBR_GEA,,,,2023-10-18 16:33:07,2023-10-18 16:33:11,3.737s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""EN"", ""SHAHID_VIP_GEA"", ""GB"", ""false"")",,,,2023-10-18 16:33:07,2023-10-18 16:33:10,2.558s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.008s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""GBR"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.021s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Watch the most powerful series and movies exclusively without stopping"")",,,,2023-10-18 16:33:10,2023-10-18 16:33:10,0.011s,PASSED
