Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LBN PI,,,,2023-10-18 16:33:52,2023-10-18 16:34:08,15.762s,FAILED
,,,,,,,
Test Cases/ANDROID/LBN PI/ANDROID_FR_getSubscriptionConfigForLBN_GEA,,,,2023-10-18 16:33:53,2023-10-18 16:33:56,3.160s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""FR"", ""SHAHID_VIP_GEA"", ""LB"", ""false"")",,,,2023-10-18 16:33:53,2023-10-18 16:33:55,1.989s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.008s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""LBN"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.021s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].featured"", ""true"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].catalogId"", ""GEA"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[1].key"", ""display_title"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.028s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[1].value"", ""Plan Mensuel"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[3].key"", ""promo_text"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[1].visualElements[3].value"", ""7.49 USD / mois"")",,,,2023-10-18 16:33:55,2023-10-18 16:33:55,0.011s,PASSED
