Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAR PI,,,,2023-10-18 16:19:36,2023-10-18 16:20:40,1m - 3.929s,FAILED
,,,,,,,
Test Cases/ANDROID/MAR PI/ANDROID_FR_getSubscriptionConfigForMAR_SPORT,,,,2023-10-18 16:19:37,2023-10-18 16:19:43,6.359s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""FR"", ""SHAHID_VIP_SPORT"", ""MA"", ""false"")",,,,2023-10-18 16:19:37,2023-10-18 16:19:40,3.127s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""MAR"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.031s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].offerId"", ""winback-sport-30-offer"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.017s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].offerParam"", ""sportsoffer30"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].price"", ""47.0"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].currency"", ""DH"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].order"", ""0"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_SPORT"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].catalogId"", ""SPORT"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.020s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[1].value"", ""30% de réduction"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""offers[3].groups[0].pricingPlans[0].visualElements[3].key"", ""deduction_text"")",,,,2023-10-18 16:19:40,2023-10-18 16:19:40,0.012s,PASSED
