Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OMN PI,,,,2023-10-18 16:22:14,2023-10-18 16:22:34,20.231s,FAILED
,,,,,,,
Test Cases/ANDROID/OMN PI/ANDROID_AR_getSubscriptionConfigForOMN_GEA,,,,2023-10-18 16:22:14,2023-10-18 16:22:18,3.694s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""AR"", ""SHAHID_VIP_GEA"", ""OM"", ""false"")",,,,2023-10-18 16:22:14,2023-10-18 16:22:17,2.324s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.007s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""OMN"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.023s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""الاشتراك الشهري "")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""4.99 OMR / شهرياً"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""تدفع شهرياً"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-10-18 16:22:17,2023-10-18 16:22:17,0.011s,PASSED
