Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SWE PI,,,,2023-10-18 16:28:49,2023-10-18 16:29:16,26.684s,FAILED
,,,,,,,
Test Cases/ANDROID/SWE PI/ANDROID_FR_getSubscriptionConfigForSWE_Ultimate,,,,2023-10-18 16:28:49,2023-10-18 16:28:53,3.921s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""FR"", ""SHAHID_VIP_GEA_SPORT"", ""SE"", ""false"")",,,,2023-10-18 16:28:50,2023-10-18 16:28:52,2.623s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""SWE"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.035s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA_SPORT"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.021s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Abonnez-vous dès maintenant et profitez de vos programmes sans publicité"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].key"", ""display_title"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:52,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[1].value"", ""Plan Mensuel"")",,,,2023-10-18 16:28:52,2023-10-18 16:28:53,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].key"", ""promo_text"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[3].value"", ""225 SEK / mois"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].key"", ""deduction_text"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[4].value"", ""facturation mensuelle"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].key"", ""show_payment_logo"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[7].value"", ""true"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].key"", ""show_tag"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[8].value"", ""false"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].key"", ""price"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[10].value"", ""225"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].key"", ""currency"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[11].value"", ""SEK"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[12].key"", ""duration"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[12].value"", ""Mensuel"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[13].key"", ""featured_tag_text"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.016s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[13].value"", ""Le plus populaire"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].order"", ""9"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].period"", ""monthly"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].price"", ""225.0"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].currency"", ""SEK"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].productId"", ""SWE_B2C_SHAHID_VIP_GEA_SPORT_1M"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].subPricingPlanIds"", ""[net.shahid.monthly.platinumgea]"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.014s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].paymentMethod"", ""GOOGLE_IAP"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].freeTrialEnabled"", ""false"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[1].key"", ""CTA_text"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[1].value"", ""S’abonner"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[2].key"", ""logo"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.015s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].visualElements[2].value"", ""google"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].pricingPlanData[0].priceLabel"", ""225"")",,,,2023-10-18 16:28:53,2023-10-18 16:28:53,0.011s,FAILED
