Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TUN PI,,,,2023-10-18 16:31:01,2023-10-18 16:31:45,43.075s,FAILED
,,,,,,,
Test Cases/ANDROID/TUN PI/ANDROID_FR_getSubscriptionConfigForTUN_MO,,,,2023-10-18 16:31:02,2023-10-18 16:31:12,10.217s,PASSED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""FR"", ""SHAHID_MOBILE_ONLY"", ""TN"", ""false"")",,,,2023-10-18 16:31:02,2023-10-18 16:31:11,9.392s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.008s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""TUN"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.021s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.014s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_MOBILE_ONLY"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""VIP"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""display_title"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.011s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""Plan Mensuel"")",,,,2023-10-18 16:31:11,2023-10-18 16:31:11,0.011s,PASSED
