Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WW PI,,,,2023-10-18 16:26:16,2023-10-18 16:27:04,47.807s,FAILED
,,,,,,,
Test Cases/ANDROID/WW PI/ANDROID_AR_getSubscriptionConfigForJPN_Ultimate,,,,2023-10-18 16:26:16,2023-10-18 16:26:29,13.323s,FAILED
"getResponse = config_files.getConfigFile.getConfig(""ANDROID_APP"", ""AR"", ""SHAHID_VIP_GEA_SPORT"", ""JP"", ""false"")",,,,2023-10-18 16:26:16,2023-10-18 16:26:28,12.020s,PASSED
"verifyResponseStatusCode(getResponse, 200)",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.010s,PASSED
"verifyElementPropertyValue(getResponse, ""country"", ""WW"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.024s,PASSED
"verifyElementPropertyValue(getResponse, ""platform"", ""[ANDROID_APP]"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.013s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].featured"", ""true"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.016s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].packageId"", ""SHAHID_VIP_GEA_SPORT"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.020s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].catalogId"", ""GEA"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.013s,FAILED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].key"", ""Header_1_text"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.012s,PASSED
"verifyElementPropertyValue(getResponse, ""groups[0].pricingPlans[0].visualElements[0].value"", ""شاهد أقوى المسلسلات و الأفلام حصرياً دون توقف"")",,,,2023-10-18 16:26:28,2023-10-18 16:26:28,0.014s,PASSED
